slr,t,score,n,p,p.fdr,PG.ProteinGroups,group1,group2,slr_ratio_meta,test,type,significant_changed,significant_changed_raw_p,significant_changed_fc,significant_changed_p_value,fold_change_absolute,fold_change_direction,fold_change,effect_size_method,d,d_pooled_SD,d_95CI_lower,d_95CI_upper,d_magnitute
-0.04735115822995977,-0.40683431583680935,0.6962885215522975,2,0.7433455288781039,0.9010067176643468,A0PJW6,B_manual,A_manual,B_manual/A_manual,modt,median,none,none,1.5,0.05,1.0333658828130008,down,-1.0333658828130008,Cohen's d,-0.2791354753291562,0.10749625620917352,-1.3567384936316649,0.7984675429733523,small
0.04435209898280874,0.4408389989071615,0.6726308225472064,9,0.8641528263603093,1,A1X283,B_manual,A_manual,B_manual/A_manual,modt,median,none,none,1.5,0.05,1.0312199639354895,up,1.0312199639354895,Cohen's d,0.0164415143431017,0.18601783127179852,-0.4536597633775965,0.48654279206379986,negligible
-1.018695461448698,-21.574959350959812,1.1666709691855101e-7,1,1.16667096918551e-7,2.71440629517929e-7,A5Z2X5,B_manual,A_manual,B_manual/A_manual,modt,median,down,down,1.5,0.05,2.0260860685891773,down,-2.0260860685891773,Cohen's d,-15.065249868990184,0.04504585142656703,-24.44209882719858,-5.6884009107817874,large
-0.11653719587000834,-1.0692390667918108,0.3204604834796404,5,0.19118087069150372,0.27133602327604356,L0R6Q1,B_manual,A_manual,B_manual/A_manual,modt,median,none,none,1.5,0.05,1.0841295736350784,down,-1.0841295736350784,Cohen's d,-0.6380376488874823,0.14494980588661688,-1.2942931911780793,0.01821789340311475,medium
-0.07944281149267553,-0.5016872354346774,0.6312874387652538,1,0.6312874387652538,0.7874066559868685,L0R8F8,B_manual,A_manual,B_manual/A_manual,modt,median,none,none,1.5,0.05,1.0566098845961067,down,-1.0566098845961067,Cohen's d,-0.373287775332773,0.1749948954999194,-2.118519217465945,1.3719436668003988,small
0.00665612282450638,0.1008351334461061,0.922510332223576,11,0.9999289887769576,1,O00330,B_manual,A_manual,B_manual/A_manual,modt,median,none,none,1.5,0.05,1.0046243321441295,up,1.0046243321441295,Cohen's d,0.179252179379737,0.18970523675277723,-0.2454271017404773,0.6039314604999513,negligible
-0.3342264038318361,-2.222578442687177,0.06166437580436744,1,0.06166437580436745,0.09428439148928208,O00458,B_manual,A_manual,B_manual/A_manual,modt,median,none,none,1.5,0.05,1.260701219386997,down,-1.260701219386997,Cohen's d,-1.5357510147611466,0.14798428912309786,-3.504577404190679,0.433075374668386,large
0.0079989620674877,-0.07481424887491289,0.9424568477296228,10,0.999970871416514,1,O00487,B_manual,A_manual,B_manual/A_manual,modt,median,none,none,1.5,0.05,1.00555985695823,up,1.00555985695823,Cohen's d,0.05736620617185172,0.31455407210755887,-0.3878922842613508,0.5026246966050543,negligible
-0.00228882654179819,-0.03218606930484098,0.9752226806379888,33,1,1,O00571,B_manual,A_manual,B_manual/A_manual,modt,median,none,none,1.5,0.05,1.0015877528110997,down,-1.0015877528110997,Cohen's d,-0.03704223248272233,0.1975282501548824,-0.27943751330650674,0.20535304834106205,negligible
-0.11812710261831404,-0.6426256234641494,0.5409472911698429,9,0.5998730422797132,0.7532240455692639,O00622,B_manual,A_manual,B_manual/A_manual,modt,median,none,none,1.5,0.05,1.08532498569278,down,-1.08532498569278,Cohen's d,0.17235660746202572,0.3216608366586687,-0.2986087297849015,0.643321944708953,negligible
-0.9757784447891624,-8.291817111513216,7.269728432227093e-5,9,2.557739087569524e-19,1.1509825894062858e-18,O13516,B_manual,A_manual,B_manual/A_manual,modt,median,down,down,1.5,0.05,1.9667020976918053,down,-1.9667020976918053,Cohen's d,-2.184892658194232,0.3573361925655418,-2.778909020076732,-1.5908762963117324,large
-1.221558233080553,-15.391660608668346,1.1853189561013088e-6,1,1.1853189561013075e-6,2.51985062379104e-6,O13547,B_manual,A_manual,B_manual/A_manual,modt,median,down,down,1.5,0.05,2.3319845544253672,down,-2.3319845544253672,Cohen's d,-7.914781912294582,0.10132918334971971,-13.056346258824874,-2.773217565764289,large
-0.22716344388234208,-2.2672521626498425,0.05773254263020154,1,0.05773254263020153,0.08872393821389868,O14521,B_manual,A_manual,B_manual/A_manual,modt,median,none,none,1.5,0.05,1.170531244227617,down,-1.170531244227617,Cohen's d,-1.5222502487919731,0.09847014915706644,-3.487149205976066,0.4426487083921198,large
-0.05294734595107307,-0.9991841365935014,0.3510038305220333,3,0.2831211335476495,0.3925563318469716,O14561,B_manual,A_manual,B_manual/A_manual,modt,median,none,none,1.5,0.05,1.0373820745353493,down,-1.0373820745353493,Cohen's d,-0.6291878589184206,0.20313491932897704,-1.4965382849797928,0.2381625671429517,medium
-0.01048780615341181,-0.24415975779670612,0.8141129622223066,10,0.9892581550677796,1,O14579,B_manual,A_manual,B_manual/A_manual,modt,median,none,none,1.5,0.05,1.007296080904505,down,-1.007296080904505,Cohen's d,0.40538036080070305,0.170690455627985,-0.04433556761152951,0.8550962892129357,small
