R.Condition,PG.ProteinGroups,mean_iBAQ_intensities,SD_iBAQ_intensities,CV_iBAQ_intensities,iBAQ_quantiles
A_manual,A0PJW6,2660.45,204.979372945995,0.0770468803946682,Q5
A_manual,A1X283,1324.475,59.8155149884487,0.04516167914717054,Q4
A_manual,A5Z2X5,78088.275,3575.8672350214592,0.04579262680628378,Q9
A_manual,L0R6Q1,31907.45,1404.829169923044,0.04402824951298345,Q9
A_manual,L0R8F8,2966.8,633.3412192491502,0.21347620980489085,Q5
A_manual,O00330,4884.950000000001,228.753353345184,0.04682818725783969,Q6
A_manual,O00458,150.875,19.88540084249414,0.1318005026843025,Q1
A_manual,O00487,32368.55,741.58758304959,0.02291074462864694,Q9
A_manual,O00571,112171.575,6540.497307481034,0.05830797425712382,Q10
A_manual,O00622,3548.625,182.6409661056357,0.05146809429163005,Q5
A_manual,O13516,251255.5,17827.743900636066,0.07095464139346627,Q10
A_manual,O13547,1873.825,187.9841549173759,0.10032108383513716,Q4
A_manual,O14521,6567.325,183.61004647531303,0.02795811787528606,Q6
A_manual,O14561,26587.425,707.7935827862059,0.02662136640860128,Q9
A_manual,O14579,43786.775,1077.6564089881967,0.02461145880207429,Q9
